text,tweets_transform,polarity,subjectivity
No te pierdas el Episodio 47 de Tu Podcast Charlas iOS. Disponible ya en tu aplicación de Podcast favorita. Esta ve… https://t.co/9NuqPCLQY7,pierdas Episodio 47 Podcast Charlas iOS  Disponible aplicación Podcast favorita  ve,0.45,0.7
#Finanzas | #Apple retiró los títulos de #EpicGames de su App Store después de que el fabricante de videojuegos vio… https://t.co/peSMuIB0sH,Finanzas Apple retiró títulos EpicGames App Store después fabricante videojuegos vio,-0.4,0.4
Amigos de @LaCondesa_ el lunes tenemos oferta para #Apple es tiempo de actualizar,Amigos  lunes oferta Apple tiempo actualizar,0.0,0.0
"Contamos con la más alta tecnología para la reparación de tus equipos. 

Total Repair es tu solución. 

Haz tu cita… https://t.co/Tm1scnhhTO",Contamos alta tecnología reparación equipos  Total Repair solución  Haz cita,0.08,0.645
"🎮📼😯 #Las3Claves de fin de semana: #Microsoft apoya a Epic Games contra #Apple, #Tiktok demandará al gobierno de Tru… https://t.co/Dj87ROQP9X",Las3Claves fin semana  Microsoft apoya Epic Games Apple  Tiktok demandará gobierno Tru,0.1,0.4
#eldato #Argentina vale un cuarto de lo q vale #apple feo #PPTBox #Argentinita https://t.co/QIGJfYMFVI,eldato Argentina vale cuarto q vale apple feo PPTBox Argentinita,-0.033333333333333326,0.39999999999999997
"#Macworld 2001 #SF #PowerBookG4 #Titanium Intro https://t.co/S1hjORxsuv via @YouTube ❤️

#Apple #Mac #Macnotebook… https://t.co/Pp7s01CX8i",Macworld 2001 SF PowerBookG4 Titanium Intro via Apple Mac Macnotebook,0.0,0.0
Apple retrasa lanzamiento del iPhone 12 y confirma que será hasta otoño. via @https://twitter.com/OnliHype… https://t.co/IJRScmVoVa,Apple retrasa lanzamiento iPhone 12 confirma otoño  via  twitter  com OnliHype,0.0,0.0
"Invito a todos a visitar mi canal de YouTube en mi perfil pueden entrar 💯🔥😏.
#youtube #apple #samsung #youtuber",Invito visitar canal YouTube perfil pueden entrar  youtube apple samsung youtuber,0.0,0.0
#EstaSemanaEnPSN La empresa estadounidense Apple Inc. se convirtió en la más valiosa en el país al alcanzar un valo… https://t.co/K13opRiYjI,EstaSemanaEnPSN empresa estadounidense Apple Inc  convirtió valiosa país alcanzar valo,0.0,0.0
SE FILTRA: Un prototipo que nuca salió de #Apple es es una #Mac Mini con conexión Dock para 30 pins del #iPod esto… https://t.co/0N1skfpse9,FILTRA  prototipo nuca salió Apple Mac Mini conexión Dock 30 pins iPod,0.0,0.0
"#Microsoft amenaza a #Apple: acumula enemigos y posibles pérdidas https://t.co/L84NarHhCV
#AppleStore #EpicGames https://t.co/IT6cQDrf1k",Microsoft amenaza Apple  acumula enemigos posibles pérdidas AppleStore EpicGames,0.0,1.0
"Iphone Junin 
 📲|  Equipos Nuevos con 12 meses de garantía #Apple. 
 📲| Equipos usados de Exposición
⌚️| Incorporam… https://t.co/WBK6wYpaLo",Iphone Junin Equipos Nuevos 12 meses garantía Apple  Equipos usados Exposición Incorporam,0.13636363636363635,0.45454545454545453
"CONFIGURACIÓN iPad Pro 2020 + Magic ¿Es Buena ELECCIÓN? 
#apple #Ipadpro2020 #magicmouse2
https://t.co/3az58YkVN2
L… https://t.co/pnBwjRsqfX",CONFIGURACIÓN iPad Pro 2020 Magic Buena ELECCIÓN  apple Ipadpro2020 magicmouse2 L,0.6,0.8
@Lucasolmedo_k El capitalismo no va mas. Aguante el che. Abajo el capi. Cuba el mejor pais. Quiero ser como venezue… https://t.co/ihwHufPIVc,k capitalismo va mas  Aguante che  Abajo capi  Cuba mejor pais  Quiero ser venezue,0.2814814814814815,0.42962962962962964
"vamos a darle cañita!!! torneito FREEFORTNITE https://t.co/Bx1HspQS45 
#FreeFortnite #Fortnite
#Apple",vamos darle cañita torneito FREEFORTNITE FreeFortnite Fortnite Apple,0.0,0.0
"#Apple confirma el retraso de los #iPhone 12

https://t.co/2cdwOSSh0O",Apple confirma retraso iPhone 12,0.0,0.0
#Apple lanza un nuevo desafío para los usuarios de China https://t.co/eqVOSFbl8B via @josmamu #Mac #ios https://t.co/kVt67KT4iz,Apple lanza nuevo desafío usuarios China via Mac ios,0.06818181818181818,0.22727272727272727
Interensante episodio con ⁦@volkan68⁩ platicando sobre #Chrome #chromebook y todo sobre estos dispositivos y sistem… https://t.co/XaiycQ3Ak5,Interensante episodio platicando Chrome chromebook dispositivos sistem,0.0,0.0
"@Col_NativitasDF el lunes le toca oferta para reparar,actualizar, o limpiar por dentro tu #laptop o #PC de la marca #Apple",NativitasDF lunes toca oferta reparar  actualizar  limpiar dentro laptop PC marca Apple,0.3666666666666667,0.7000000000000001
